Result, Turns, Water Level, Tiles Left, Diver, Engineer, Explorer, Messenger, Navigator, Pilot, Tr1, Tr2, Tr3, Tr4, Reason
LOSS, 16, 7, 12, P, P, , , P, P, , , , , Game Over! Fools' Landing has sunk
LOSS, 23, 10, 2, , P, P, , P, P, C, C, C, C, Game Over! The Island has flooded
LOSS, 4, 3, 22, , P, P, P, , P, , , , , Game Over! Treasure 1 can't be captured
LOSS, 20, 9, 5, P, , P, P, , P, C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 24, 10, 3, P, , P, P, P, , C, C, C, C, Game Over! The Island has flooded
LOSS, 20, 10, 8, P, , P, , P, P, , C, , , Game Over! The Island has flooded
LOSS, 20, 8, 2, , P, P, , P, P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 13, 6, 17, , P, P, , P, P, , , , , Game Over! Fools' Landing has sunk
LOSS, 13, 5, 13, P, P, , , P, P, , , , C, Game Over! Treasure 2 can't be captured
LOSS, 19, 9, 10, , P, , P, P, P, , , C, , Player was unable to escape a sinking tile
LOSS, 9, 4, 19, P, P, , P, , P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 20, 9, 9, P, , , P, P, P, C, , C, C, Game Over! Fools' Landing has sunk
LOSS, 15, 6, 20, P, , P, , P, P, , , C, , Game Over! Fools' Landing has sunk
LOSS, 23, 10, 4, P, , P, , P, P, , C, C, C, Game Over! The Island has flooded
LOSS, 19, 9, 7, , P, P, P, , P, C, C, C, , Player was unable to escape a sinking tile
LOSS, 23, 8, 2, P, , P, P, P, , C, C, C, C, Player was unable to escape a sinking tile
LOSS, 18, 7, 10, P, P, P, P, , , C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 15, 7, 14, P, P, , , P, P, , , , C, Game Over! Treasure 2 can't be captured
LOSS, 22, 10, 8, , P, P, P, , P, C, C, , , Game Over! The Island has flooded
LOSS, 15, 8, 13, , P, P, P, , P, , C, , , Game Over! Treasure 3 can't be captured
LOSS, 15, 7, 15, P, , P, P, P, , C, C, , , Game Over! Fools' Landing has sunk
LOSS, 6, 3, 23, P, P, P, , , P, , , , , Game Over! Fools' Landing has sunk
LOSS, 20, 10, 12, P, , P, P, P, , , C, C, , Game Over! The Island has flooded
LOSS, 24, 10, 8, , P, P, , P, P, , C, C, C, Game Over! The Island has flooded
LOSS, 11, 5, 17, P, , P, , P, P, , , , , Game Over! Fools' Landing has sunk
LOSS, 16, 7, 13, P, P, , , P, P, C, C, , , Game Over! Treasure 3 can't be captured
LOSS, 14, 6, 11, , P, , P, P, P, , , C, C, Player was unable to escape a sinking tile
WIN, 25, 8, 2, , P, P, , P, P, C, C, C, C, You have WON! Congratulations!
LOSS, 13, 6, 16, P, , P, , P, P, C, , C, , Game Over! Fools' Landing has sunk
LOSS, 19, 8, 11, P, P, P, P, , , C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 12, 7, 17, , P, P, , P, P, , , , , Game Over! Fools' Landing has sunk
LOSS, 20, 9, 8, , , P, P, P, P, C, C, C, , Game Over! Treasure 3 can't be captured
LOSS, 15, 7, 14, , P, P, P, P, , C, , , C, Game Over! Fools' Landing has sunk
LOSS, 20, 8, 3, , , P, P, P, P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 20, 8, 3, , P, , P, P, P, C, C, , C, Game Over! Treasure 2 can't be captured
LOSS, 3, 4, 21, , P, , P, P, P, , , , , Game Over! Treasure 1 can't be captured
LOSS, 20, 7, 4, P, P, , P, P, , C, , C, C, Game Over! Fools' Landing has sunk
LOSS, 3, 4, 21, P, P, , , P, P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 18, 8, 11, P, P, , P, , P, C, , , C, Game Over! Treasure 1 can't be captured
LOSS, 19, 9, 7, , P, P, P, P, , , , , C, Game Over! Fools' Landing has sunk
LOSS, 14, 7, 15, P, , P, , P, P, , , , , Game Over! Fools' Landing has sunk
LOSS, 22, 9, 4, P, P, P, , P, , , C, C, , Game Over! Treasure 3 can't be captured
LOSS, 20, 8, 4, P, P, , P, P, , C, C, C, , Game Over! Treasure 3 can't be captured
LOSS, 16, 7, 16, , P, , P, P, P, , C, C, , Game Over! Treasure 0 can't be captured
LOSS, 22, 9, 4, P, , P, P, , P, C, C, , C, Player was unable to escape a sinking tile
LOSS, 18, 9, 10, P, , , P, P, P, C, , , , Game Over! Treasure 2 can't be captured
LOSS, 17, 8, 14, P, P, P, , P, , C, , C, , Game Over! Fools' Landing has sunk
LOSS, 13, 5, 18, , , P, P, P, P, C, , , , Game Over! Treasure 3 can't be captured
LOSS, 7, 4, 18, , P, , P, P, P, , , , , Game Over! Treasure 1 can't be captured
LOSS, 19, 8, 5, P, , P, P, P, , C, C, , C, Player was unable to escape a sinking tile
LOSS, 19, 8, 10, P, P, , P, P, , , C, C, , Game Over! Fools' Landing has sunk
WIN, 23, 8, 4, P, P, , P, P, , C, C, C, C, You have WON! Congratulations!
LOSS, 7, 4, 21, P, P, , , P, P, , , , , Game Over! Treasure 0 can't be captured
LOSS, 8, 3, 22, , , P, P, P, P, , , , C, Game Over! Fools' Landing has sunk
LOSS, 22, 9, 2, , P, , P, P, P, C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 17, 7, 13, , P, P, P, P, , C, C, , , Game Over! Fools' Landing has sunk
LOSS, 24, 10, 3, P, , P, P, , P, C, C, C, C, Game Over! The Island has flooded
LOSS, 10, 4, 20, , P, , P, P, P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 12, 5, 19, P, P, , , P, P, , , , , Game Over! Fools' Landing has sunk
LOSS, 12, 4, 18, , P, P, P, , P, , , , , Game Over! Treasure 0 can't be captured
LOSS, 15, 5, 16, , P, , P, P, P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 16, 7, 12, , P, P, , P, P, , , C, , Game Over! Treasure 0 can't be captured
LOSS, 7, 4, 19, , P, , P, P, P, , , , , Game Over! Treasure 0 can't be captured
LOSS, 18, 8, 11, P, , P, , P, P, , , C, C, Game Over! Treasure 1 can't be captured
LOSS, 19, 7, 12, P, , , P, P, P, C, C, C, , Game Over! Treasure 3 can't be captured
LOSS, 15, 7, 13, P, , P, P, P, , C, , , , Game Over! Treasure 1 can't be captured
LOSS, 19, 9, 6, P, , P, P, P, , C, C, , C, Game Over! Treasure 2 can't be captured
LOSS, 21, 7, 7, , P, P, , P, P, C, C, C, , Game Over! Fools' Landing has sunk
LOSS, 18, 8, 11, P, , P, P, , P, , C, , C, Game Over! Fools' Landing has sunk
LOSS, 19, 9, 13, P, , , P, P, P, , C, C, , Game Over! Treasure 3 can't be captured
LOSS, 24, 8, 0, , P, , P, P, P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 9, 4, 20, P, P, , P, P, , , , , , Game Over! Fools' Landing has sunk
LOSS, 15, 7, 13, P, P, P, , , P, , , C, , Game Over! Treasure 3 can't be captured
LOSS, 14, 6, 16, P, P, , P, , P, C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 15, 6, 12, P, P, , , P, P, , C, , , Game Over! Treasure 3 can't be captured
LOSS, 20, 8, 4, P, , , P, P, P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 23, 9, 1, , P, , P, P, P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 14, 6, 17, P, P, , P, , P, , , , C, Game Over! Treasure 0 can't be captured
LOSS, 21, 9, 9, P, , P, P, , P, , C, , C, Game Over! Treasure 2 can't be captured
LOSS, 22, 10, 8, P, P, , P, , P, C, , C, , Game Over! The Island has flooded
LOSS, 12, 6, 20, P, P, P, , P, , , , , , Game Over! Treasure 2 can't be captured
LOSS, 21, 10, 8, P, P, , P, , P, C, C, , C, Game Over! The Island has flooded
LOSS, 11, 5, 20, P, P, , P, , P, , C, , , Game Over! Treasure 3 can't be captured
LOSS, 20, 9, 0, P, P, P, , P, , C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 21, 9, 4, P, , , P, P, P, C, C, , C, Game Over! Fools' Landing has sunk
LOSS, 12, 5, 16, P, P, , P, P, , C, , , , Game Over! Treasure 2 can't be captured
LOSS, 20, 9, 7, P, P, , , P, P, , C, C, , Game Over! Fools' Landing has sunk
LOSS, 23, 10, 8, P, , P, P, P, , C, C, C, , Game Over! The Island has flooded
LOSS, 21, 10, 7, P, , , P, P, P, C, C, C, , Game Over! The Island has flooded
LOSS, 17, 7, 11, , P, , P, P, P, C, , , , Game Over! Treasure 3 can't be captured
LOSS, 21, 10, 8, P, P, P, P, , , C, C, , C, Game Over! The Island has flooded
LOSS, 20, 9, 8, , P, P, , P, P, , , , C, Game Over! Treasure 1 can't be captured
LOSS, 22, 9, 7, P, , , P, P, P, C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 20, 10, 11, P, P, P, P, , , , C, C, , Game Over! The Island has flooded
LOSS, 18, 10, 12, P, , P, P, , P, C, C, , , Game Over! The Island has flooded
LOSS, 20, 10, 8, , P, P, P, P, , C, , C, , Game Over! The Island has flooded
LOSS, 19, 7, 7, P, P, , , P, P, , C, C, , Game Over! Fools' Landing has sunk
LOSS, 18, 9, 6, , P, P, P, , P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 15, 7, 17, P, P, P, P, , , , C, , , Game Over! Fools' Landing has sunk
LOSS, 19, 8, 12, , P, P, P, , P, C, C, C, , Game Over! Fools' Landing has sunk
LOSS, 22, 10, 9, , P, P, , P, P, C, C, , C, Game Over! The Island has flooded
LOSS, 21, 10, 9, , , P, P, P, P, , C, C, C, Game Over! The Island has flooded
WIN, 22, 8, 8, , P, , P, P, P, C, C, C, C, You have WON! Congratulations!
LOSS, 21, 8, 2, P, P, P, P, , , , C, C, C, Game Over! Treasure 0 can't be captured
WIN, 23, 9, 3, P, , , P, P, P, C, C, C, C, You have WON! Congratulations!
LOSS, 23, 8, 6, P, P, P, , P, , C, , , C, Player was unable to escape a sinking tile
LOSS, 20, 9, 9, , P, P, P, , P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 16, 7, 11, P, P, P, , P, , , C, , C, Player was unable to escape a sinking tile
LOSS, 23, 10, 6, P, , P, , P, P, C, C, , C, Game Over! The Island has flooded
LOSS, 12, 5, 18, P, P, P, P, , , C, , , , Game Over! Treasure 2 can't be captured
LOSS, 23, 9, 4, P, P, P, , P, , C, , C, C, Game Over! Fools' Landing has sunk
WIN, 18, 8, 9, , , P, P, P, P, C, C, C, C, You have WON! Congratulations!
LOSS, 19, 9, 8, P, P, , P, P, , , C, , C, Game Over! Treasure 0 can't be captured
LOSS, 22, 8, 1, , , P, P, P, P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 17, 7, 10, , P, P, P, P, , , , C, , Player was unable to escape a sinking tile
LOSS, 21, 9, 4, P, P, , P, , P, C, C, , C, Player was unable to escape a sinking tile
LOSS, 23, 9, 1, P, , P, , P, P, C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 21, 10, 5, P, P, P, , P, , C, C, C, , Game Over! The Island has flooded
LOSS, 19, 10, 11, , P, P, , P, P, , , C, , Game Over! The Island has flooded
LOSS, 10, 4, 19, P, P, , , P, P, , C, , , Game Over! Fools' Landing has sunk
LOSS, 13, 6, 14, P, , P, , P, P, , C, , , Game Over! Treasure 3 can't be captured
LOSS, 23, 9, 1, , P, , P, P, P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 23, 9, 5, P, P, P, P, , , C, C, , C, Game Over! Treasure 2 can't be captured
LOSS, 15, 7, 15, P, P, P, P, , , , C, C, C, Game Over! Treasure 0 can't be captured
LOSS, 18, 7, 5, , , P, P, P, P, C, C, C, , Game Over! Treasure 3 can't be captured
WIN, 22, 7, 10, , P, P, P, , P, C, C, C, C, You have WON! Congratulations!
LOSS, 21, 9, 2, , P, P, P, P, , C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 21, 9, 7, P, , , P, P, P, C, , , , Player was unable to escape a sinking tile
LOSS, 6, 4, 21, , , P, P, P, P, , , , , Game Over! Fools' Landing has sunk
LOSS, 20, 7, 10, , P, , P, P, P, C, C, , C, Game Over! Fools' Landing has sunk
LOSS, 17, 8, 10, P, P, P, , P, , , , , C, Game Over! Fools' Landing has sunk
LOSS, 12, 6, 18, , , P, P, P, P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 20, 10, 9, , P, P, , P, P, C, , C, , Game Over! The Island has flooded
LOSS, 18, 7, 8, , P, , P, P, P, C, C, , C, Player was unable to escape a sinking tile
LOSS, 11, 5, 17, P, , P, P, , P, , , C, , Game Over! Treasure 3 can't be captured
LOSS, 3, 4, 23, P, P, , P, , P, , , , , Game Over! Fools' Landing has sunk
LOSS, 24, 9, 3, P, , P, , P, P, C, C, C, , Game Over! Fools' Landing has sunk
LOSS, 17, 7, 11, P, P, P, , , P, , , C, C, Game Over! Treasure 0 can't be captured
LOSS, 19, 7, 11, P, P, , P, , P, , C, C, , Game Over! Fools' Landing has sunk
LOSS, 20, 10, 11, P, P, , , P, P, , , , , Game Over! The Island has flooded
LOSS, 2, 2, 22, , P, P, P, P, , , , , , Game Over! Fools' Landing has sunk
LOSS, 20, 8, 10, P, P, P, P, , , , C, C, C, Game Over! Fools' Landing has sunk
LOSS, 23, 8, 4, P, , P, P, , P, C, C, C, , Player was unable to escape a sinking tile
LOSS, 19, 7, 13, P, , P, P, P, , , C, , C, Game Over! Treasure 2 can't be captured
LOSS, 6, 2, 23, P, P, P, , P, , , , , , Game Over! Fools' Landing has sunk
LOSS, 21, 10, 4, , P, , P, P, P, C, C, , , Game Over! The Island has flooded
LOSS, 8, 4, 18, P, P, P, , P, , , , , , Game Over! Treasure 2 can't be captured
LOSS, 20, 10, 4, P, , P, P, , P, , C, C, C, Game Over! The Island has flooded
LOSS, 16, 6, 13, , P, P, P, P, , , C, C, C, Game Over! Treasure 0 can't be captured
LOSS, 23, 10, 6, , P, P, , P, P, C, , C, C, Game Over! The Island has flooded
LOSS, 20, 8, 2, P, P, , , P, P, C, C, C, C, Player was unable to escape a sinking tile
LOSS, 9, 4, 21, P, P, P, P, , , , , , , Game Over! Treasure 0 can't be captured
LOSS, 21, 9, 7, , P, P, P, , P, , C, , C, Game Over! Treasure 0 can't be captured
LOSS, 9, 3, 21, P, , P, P, , P, , C, , , Game Over! Fools' Landing has sunk
LOSS, 18, 8, 10, P, P, , P, P, , C, , , , Game Over! Fools' Landing has sunk
LOSS, 23, 10, 4, , P, P, P, P, , C, C, C, C, Game Over! The Island has flooded
LOSS, 19, 8, 10, , P, P, P, P, , , C, , , Game Over! Treasure 3 can't be captured
LOSS, 11, 5, 18, P, , P, , P, P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 22, 9, 5, P, P, , P, , P, C, C, , C, Game Over! Fools' Landing has sunk
WIN, 21, 8, 9, P, P, , P, , P, C, C, C, C, You have WON! Congratulations!
LOSS, 20, 8, 11, P, P, P, , , P, , C, , , Game Over! Treasure 3 can't be captured
LOSS, 2, 2, 21, , P, P, , P, P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 17, 7, 17, P, P, , P, P, , C, , C, , Game Over! Treasure 3 can't be captured
LOSS, 22, 10, 10, P, P, , , P, P, , C, , , Game Over! The Island has flooded
LOSS, 11, 5, 17, P, P, P, , , P, , , , , Game Over! Treasure 2 can't be captured
LOSS, 19, 7, 8, P, , P, P, P, , C, C, , C, Game Over! Fools' Landing has sunk
LOSS, 19, 8, 8, , P, , P, P, P, , , C, C, Game Over! Treasure 1 can't be captured
LOSS, 11, 5, 19, P, , P, P, , P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 13, 7, 15, P, , P, P, , P, , , , , Game Over! Treasure 1 can't be captured
LOSS, 13, 7, 16, P, P, P, P, , , , , , , Game Over! Treasure 0 can't be captured
LOSS, 1, 2, 23, P, P, , P, , P, , , , , Game Over! Fools' Landing has sunk
LOSS, 13, 6, 18, P, P, P, , P, , , , , , Game Over! Treasure 1 can't be captured
LOSS, 20, 10, 9, P, , P, P, P, , , C, C, C, Game Over! The Island has flooded
LOSS, 22, 9, 4, P, , P, P, , P, C, C, , , Game Over! Treasure 2 can't be captured
LOSS, 13, 5, 16, , P, , P, P, P, , , , C, Game Over! Treasure 2 can't be captured
WIN, 22, 7, 5, , , P, P, P, P, C, C, C, C, You have WON! Congratulations!
LOSS, 20, 10, 9, P, , , P, P, P, C, , C, C, Game Over! The Island has flooded
LOSS, 23, 10, 6, , P, , P, P, P, C, C, C, , Game Over! The Island has flooded
LOSS, 13, 6, 13, P, P, , , P, P, C, C, , C, Game Over! Fools' Landing has sunk
LOSS, 22, 9, 2, P, P, P, P, , , , C, C, C, Player was unable to escape a sinking tile
LOSS, 16, 7, 17, , , P, P, P, P, , C, , C, Game Over! Fools' Landing has sunk
LOSS, 22, 10, 12, P, P, P, , , P, , C, , C, Game Over! The Island has flooded
LOSS, 20, 7, 2, P, P, , P, P, , C, C, C, C, Player was unable to escape a sinking tile
LOSS, 15, 7, 13, P, P, , P, , P, C, , , , Game Over! Treasure 3 can't be captured
LOSS, 20, 9, 3, P, , P, , P, P, C, C, C, , Game Over! Fools' Landing has sunk
LOSS, 18, 7, 9, , , P, P, P, P, , C, , C, Game Over! Fools' Landing has sunk
LOSS, 15, 6, 15, , P, P, P, , P, C, , C, , Game Over! Fools' Landing has sunk
LOSS, 14, 7, 17, , P, , P, P, P, , C, , , Game Over! Treasure 2 can't be captured
LOSS, 20, 8, 7, P, P, , P, , P, , C, , , Game Over! Treasure 0 can't be captured
LOSS, 24, 10, 5, P, P, P, , , P, C, C, C, C, Game Over! The Island has flooded
LOSS, 26, 10, 5, P, P, P, , , P, , C, C, C, Game Over! The Island has flooded
LOSS, 22, 8, 5, P, P, P, , , P, C, C, , , Game Over! Treasure 3 can't be captured
LOSS, 20, 7, 3, P, , P, P, P, , , C, C, C, Game Over! Fools' Landing has sunk
LOSS, 24, 9, 2, P, , P, P, , P, C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 17, 6, 7, P, , , P, P, P, , C, C, C, Game Over! Fools' Landing has sunk
LOSS, 19, 8, 6, , , P, P, P, P, C, , , C, Game Over! Treasure 1 can't be captured
WIN, 20, 8, 7, P, , , P, P, P, C, C, C, C, You have WON! Congratulations!
LOSS, 16, 7, 8, P, , P, P, P, , , , C, , Game Over! Treasure 3 can't be captured
LOSS, 23, 10, 7, , P, , P, P, P, C, C, C, C, Game Over! The Island has flooded
LOSS, 14, 7, 15, P, , P, , P, P, , , , , Game Over! Treasure 1 can't be captured
LOSS, 20, 8, 6, P, , P, P, , P, C, , C, C, Game Over! Fools' Landing has sunk
LOSS, 7, 3, 21, P, P, , P, P, , , , , , Game Over! Treasure 2 can't be captured
LOSS, 12, 5, 17, P, , P, P, , P, C, , , , Game Over! Treasure 1 can't be captured
LOSS, 21, 8, 4, P, P, , P, , P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 19, 8, 7, , P, P, P, P, , , C, C, C, Game Over! Treasure 0 can't be captured
LOSS, 15, 6, 15, , , P, P, P, P, , , , C, Game Over! Treasure 0 can't be captured
LOSS, 24, 10, 3, , , P, P, P, P, C, , C, C, Game Over! The Island has flooded
LOSS, 11, 6, 17, P, P, P, , , P, , , , , Game Over! Treasure 1 can't be captured
LOSS, 18, 9, 8, P, P, , P, , P, C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 22, 8, 4, P, P, P, P, , , , C, C, C, Game Over! Treasure 0 can't be captured
LOSS, 14, 7, 10, P, , P, P, , P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 13, 6, 13, P, , P, P, P, , , , , C, Game Over! Treasure 1 can't be captured
LOSS, 22, 9, 3, P, P, , P, P, , C, C, , , Game Over! Fools' Landing has sunk
LOSS, 11, 6, 18, , P, , P, P, P, , , , , Game Over! Treasure 2 can't be captured
LOSS, 21, 9, 2, , P, , P, P, P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 21, 10, 8, , P, P, P, , P, , , C, C, Game Over! The Island has flooded
LOSS, 10, 4, 16, P, , P, , P, P, C, , , , Game Over! Treasure 3 can't be captured
LOSS, 11, 5, 17, , , P, P, P, P, , , , , Game Over! Treasure 1 can't be captured
LOSS, 24, 9, 0, , , P, P, P, P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 21, 9, 0, P, , P, P, , P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 20, 9, 6, , P, P, , P, P, C, C, C, , Game Over! Fools' Landing has sunk
LOSS, 21, 9, 9, P, P, , P, P, , C, C, C, , Player was unable to escape a sinking tile
LOSS, 18, 8, 13, P, P, P, P, , , C, C, , , Game Over! Fools' Landing has sunk
LOSS, 21, 8, 9, , P, P, P, , P, C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 12, 6, 14, P, , P, P, , P, , , , C, Game Over! Treasure 0 can't be captured
LOSS, 14, 6, 16, P, , P, P, , P, , C, , , Game Over! Fools' Landing has sunk
WIN, 22, 8, 5, , P, P, P, P, , C, C, C, C, You have WON! Congratulations!
LOSS, 19, 7, 8, P, , , P, P, P, C, C, C, C, Player was unable to escape a sinking tile
LOSS, 25, 10, 3, P, , P, P, , P, C, C, C, C, Game Over! The Island has flooded
LOSS, 11, 5, 19, P, , P, P, , P, C, , , , Game Over! Treasure 1 can't be captured
LOSS, 4, 3, 22, , , P, P, P, P, , , , , Game Over! Treasure 0 can't be captured
LOSS, 23, 9, 5, P, , P, P, P, , C, , C, , Game Over! Fools' Landing has sunk
LOSS, 19, 8, 9, P, P, P, , , P, C, , C, C, Player was unable to escape a sinking tile
LOSS, 18, 7, 10, P, P, , P, P, , C, C, C, , Game Over! Treasure 3 can't be captured
LOSS, 7, 4, 20, P, P, , , P, P, , , , , Game Over! Fools' Landing has sunk
LOSS, 20, 9, 17, , P, P, P, , P, C, , , C, Game Over! Treasure 1 can't be captured
LOSS, 19, 8, 6, , P, P, P, , P, C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 16, 7, 12, P, P, P, , , P, , C, , , Game Over! Fools' Landing has sunk
LOSS, 18, 8, 11, , , P, P, P, P, C, , C, , Game Over! Treasure 1 can't be captured
LOSS, 20, 9, 4, P, , P, P, , P, C, C, C, C, Game Over! Fools' Landing has sunk
WIN, 20, 7, 8, P, P, , P, P, , C, C, C, C, You have WON! Congratulations!
LOSS, 17, 8, 13, P, , P, , P, P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 14, 7, 11, P, , P, P, , P, , , , , Game Over! Treasure 0 can't be captured
LOSS, 20, 7, 12, , P, P, P, , P, , C, C, C, Game Over! Treasure 0 can't be captured
LOSS, 12, 6, 18, P, , P, P, P, , , , C, , Game Over! Treasure 0 can't be captured
LOSS, 16, 8, 13, P, P, , P, P, , C, , , , Game Over! Treasure 2 can't be captured
LOSS, 5, 4, 20, , P, , P, P, P, , , , , Game Over! Treasure 1 can't be captured
LOSS, 11, 5, 15, P, P, P, , P, , , , , , Game Over! Treasure 3 can't be captured
LOSS, 8, 4, 18, P, P, , , P, P, , , , , Game Over! Treasure 0 can't be captured
LOSS, 13, 6, 13, P, P, P, , , P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 19, 9, 13, , P, P, P, P, , C, , C, , Game Over! Fools' Landing has sunk
LOSS, 17, 7, 13, P, , P, , P, P, C, C, , C, Game Over! Fools' Landing has sunk
LOSS, 11, 5, 19, P, P, , P, P, , , , , C, Game Over! Fools' Landing has sunk
LOSS, 14, 7, 16, P, P, P, , P, , , C, , C, Game Over! Treasure 2 can't be captured
LOSS, 19, 9, 8, P, , P, , P, P, C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 18, 9, 10, , , P, P, P, P, C, C, C, , Game Over! Fools' Landing has sunk
LOSS, 12, 5, 18, P, P, , P, P, , , , C, , Game Over! Fools' Landing has sunk
LOSS, 12, 5, 19, , P, P, P, P, , , , , , Game Over! Fools' Landing has sunk
LOSS, 22, 9, 2, P, P, , P, P, , C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 25, 8, 1, P, P, P, , P, , C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 21, 10, 10, , P, P, P, , P, C, C, , C, Game Over! The Island has flooded
LOSS, 16, 7, 13, P, P, , P, P, , C, , , C, Game Over! Treasure 1 can't be captured
LOSS, 18, 9, 9, , P, P, , P, P, , C, C, , Game Over! Treasure 3 can't be captured
LOSS, 5, 4, 20, , , P, P, P, P, , , , , Game Over! Fools' Landing has sunk
LOSS, 23, 10, 5, P, P, , , P, P, C, C, C, , Game Over! The Island has flooded
LOSS, 22, 8, 2, P, , , P, P, P, C, C, C, C, Game Over! Fools' Landing has sunk
LOSS, 21, 8, 5, P, P, , P, , P, C, , C, C, Game Over! Treasure 1 can't be captured
LOSS, 18, 8, 15, , P, P, , P, P, C, C, , C, Game Over! Treasure 2 can't be captured
LOSS, 15, 7, 14, P, P, , P, , P, C, , C, , Game Over! Treasure 1 can't be captured
LOSS, 20, 7, 7, P, P, , , P, P, C, , C, , Game Over! Treasure 3 can't be captured
LOSS, 11, 5, 16, P, P, , P, P, , , , , , Game Over! Treasure 3 can't be captured
LOSS, 22, 8, 4, P, , P, P, P, , , , C, C, Player was unable to escape a sinking tile
LOSS, 11, 5, 15, P, P, , P, , P, , C, , , Game Over! Treasure 3 can't be captured
WIN, 22, 9, 5, P, , , P, P, P, C, C, C, C, You have WON! Congratulations!
LOSS, 20, 8, 9, P, P, P, P, , , C, , C, C, Game Over! Fools' Landing has sunk
LOSS, 12, 6, 15, , P, , P, P, P, , , , , Game Over! Treasure 2 can't be captured
LOSS, 10, 4, 21, , P, P, P, , P, C, , C, , Game Over! Fools' Landing has sunk
LOSS, 16, 8, 10, P, , P, P, P, , , C, , C, Game Over! Fools' Landing has sunk
LOSS, 10, 4, 18, , P, P, P, , P, , C, , , Game Over! Treasure 3 can't be captured
LOSS, 19, 7, 5, P, P, P, , , P, C, C, , C, Game Over! Treasure 2 can't be captured
LOSS, 10, 4, 17, P, , , P, P, P, , C, , , Game Over! Treasure 2 can't be captured
LOSS, 21, 9, 5, P, P, P, , P, , , C, C, , Game Over! Fools' Landing has sunk
LOSS, 23, 9, 2, P, , P, P, P, , C, , C, C, Game Over! Fools' Landing has sunk
LOSS, 21, 8, 1, , P, P, , P, P, C, C, C, C, Player was unable to escape a sinking tile
LOSS, 17, 8, 7, P, P, , , P, P, , C, , C, Game Over! Treasure 0 can't be captured
LOSS, 20, 8, 2, P, , P, P, P, , C, C, , C, Game Over! Treasure 2 can't be captured
LOSS, 12, 5, 17, P, , P, P, , P, , , , , Game Over! Fools' Landing has sunk
LOSS, 22, 10, 10, P, P, P, P, , , , C, C, , Game Over! The Island has flooded
LOSS, 19, 8, 9, P, P, , P, P, , C, , C, C, Game Over! Treasure 1 can't be captured
WIN, 22, 7, 7, , P, P, P, , P, C, C, C, C, You have WON! Congratulations!
LOSS, 10, 4, 17, P, , P, P, , P, , , , , Game Over! Treasure 0 can't be captured
LOSS, 24, 9, 4, P, , P, P, , P, C, , C, C, Game Over! Fools' Landing has sunk
LOSS, 20, 9, 4, P, P, , P, P, , C, C, , C, Game Over! Fools' Landing has sunk
LOSS, 21, 8, 10, P, P, P, P, , , C, C, , C, Game Over! Treasure 2 can't be captured
LOSS, 9, 4, 20, P, P, , , P, P, , , , , Game Over! Treasure 3 can't be captured
LOSS, 19, 9, 10, P, P, P, , , P, , , , , Game Over! Treasure 1 can't be captured
LOSS, 19, 7, 10, P, P, , P, , P, , C, C, C, Player was unable to escape a sinking tile
LOSS, 16, 7, 9, , P, , P, P, P, , C, C, , Game Over! Treasure 0 can't be captured
LOSS, 23, 10, 6, P, , P, , P, P, , C, C, C, Game Over! The Island has flooded
